nohup: ignoring input
432
standard .xyz file  H288O144
O	11.2544770	20.7695750	11.0276464
H	10.4379760	20.2981570	11.3609891
H	12.0709790	20.2981570	11.3609891
O	15.7452680	15.5840560	19.2777559
H	15.7452590	14.6412360	18.9444131
H	14.9287580	16.0554580	18.9444131
O	15.7452680	15.5840560	7.3609310
H	14.9287670	16.0554740	7.6942738
H	16.5617690	16.0554740	7.6942738
O	11.2544770	20.7695750	15.6110405
H	12.0709880	20.2981620	15.2777128
H	11.2544870	20.7695690	16.6110538
O	13.4998730	9.1021580	8.2776099
H	12.6833620	8.6307450	7.9442821
H	13.4998640	9.1021530	9.2776231
O	13.4998730	9.1021580	18.3610770
H	13.4998820	9.1021530	17.3610637
H	14.3163830	8.6307450	18.6944048
O	9.0090820	11.6949170	7.3609310
H	8.1925710	12.1663190	7.6942738
H	9.0090730	10.7520970	7.6942738
O	9.0090820	11.6949170	19.2777559
H	8.1925710	12.1663300	18.9444281
H	9.0090730	11.6949220	20.2777691
O	15.7452680	7.8057780	14.6943617
H	15.7452590	7.8057840	13.6943484
H	14.9287580	8.2771910	15.0276894
O	15.7452680	7.8057780	11.9443252
H	14.9287670	8.2771960	11.6109824
H	16.5617690	8.2771960	11.6109824
O	6.7636870	12.9912970	18.3610770
H	5.9471760	12.5198950	18.6944198
H	6.7636770	13.9341170	18.6944198
O	6.7636870	12.9912970	8.2776099
H	5.9471760	12.5198950	7.9442671
H	6.7636770	13.9341170	7.9442671
O	15.7452680	20.7695750	15.6110405
H	15.7452680	21.7124000	15.2777128
H	15.7452680	20.7695850	16.6110538
O	15.7452680	20.7695750	11.0276464
H	15.7452680	20.7695850	10.0276331
H	15.7452680	21.7124000	11.3609741
O	17.9906640	19.4731950	11.9443252
H	17.1741530	19.9446070	11.6109975
H	17.9906540	19.4732000	12.9443385
O	17.9906640	19.4731950	14.6943617
H	17.1741620	19.9446130	15.0277045
H	18.8071650	19.9446130	15.0277045
O	17.9906640	9.1021580	15.6110405
H	17.1741530	8.6307560	15.2776977
H	17.9906540	10.0449780	15.2776977
O	9.0090820	9.1021580	18.3610770
H	9.0090820	9.1021680	17.3610637
H	9.0090820	10.0449830	18.6944048
O	13.4998730	19.4731950	7.3609310
H	12.6833620	19.9445970	7.6942738
H	13.4998640	18.5303750	7.6942738
O	17.9906640	9.1021580	11.0276464
H	17.9906640	9.1021680	10.0276331
H	17.9906640	10.0449830	11.3609741
O	17.9906640	16.8804360	18.3610770
H	17.1741530	16.4090340	18.6944198
H	17.9906540	17.8232550	18.6944198
O	17.9906640	16.8804360	8.2776099
H	18.8071740	16.4090230	7.9442821
H	17.9906730	16.8804300	9.2776231
O	9.0090820	9.1021580	8.2776099
H	8.1925710	8.6307450	7.9442821
H	9.0090730	9.1021530	9.2776231
O	13.4998730	19.4731950	19.2777559
H	12.6833620	19.9446070	18.9444281
H	13.4998640	19.4732000	20.2777691
O	20.2360590	15.5840560	14.6943617
H	20.2360500	15.5840610	13.6943484
H	19.4195480	16.0554690	15.0276894
O	20.2360590	15.5840560	11.9443252
H	20.2360500	14.6412360	11.6109824
H	19.4195480	16.0554580	11.6109824
O	20.2360590	12.9912970	11.0276464
H	20.2360500	12.9912910	10.0276331
H	19.4195480	12.5198840	11.3609741
O	6.7636870	15.5840560	7.3609310
H	6.7636960	15.5840610	6.3609178
H	7.5801970	16.0554690	7.6942588
O	6.7636870	15.5840560	19.2777559
H	7.5801970	16.0554690	18.9444281
H	6.7636960	15.5840610	20.2777691
O	11.2544770	20.7695750	8.2776099
